location_name,FIPS Code,Percent Change in Alcohol Use Disorders,State Name
United States,0,-8.118795286,
Alabama,1,-26.67376542,
Alaska,2,-0.805024693,
Arizona,4,-11.30604666,
Arkansas,5,46.61495987,
California,6,-29.21550117,
Colorado,8,29.32528271,
Connecticut,9,-19.82650635,
Delaware,10,-25.06500242,
District of Columbia,11,-26.32209428,
Florida,12,-23.95328131,
Georgia,13,-50.39413374,
Hawaii,15,41.79158817,
Idaho,16,15.15036764,
Illinois,17,-13.05808574,
Indiana,18,75.07095429,
Iowa,19,90.37130898,
Kansas,20,55.95099675,
Kentucky,21,32.5458656,
Louisiana,22,-7.767216286,
Maine,23,19.95739906,
Maryland,24,-49.78133619,
Massachusetts,25,125.3988536,
Michigan,26,1.33296978,
Minnesota,27,48.08798661,
Mississippi,28,-11.47991852,
Missouri,29,22.54394034,
Montana,30,45.49962589,
Nebraska,31,39.35678789,
Nevada,32,-20.80622874,
New Hampshire,33,154.4231263,
New Jersey,34,4.243121497,
New Mexico,35,-12.17151543,
New York,36,-33.76879506,
North Carolina,37,-61.27690347,
North Dakota,38,58.75911408,
Ohio,39,38.20109505,
Oklahoma,40,-4.828465965,
Oregon,41,44.47941631,
Pennsylvania,42,24.59144715,
Rhode Island,44,0.480523438,
South Carolina,45,-56.20307275,
South Dakota,46,16.23544457,
Tennessee,47,-6.011928897,
Texas,48,-11.74616835,
Utah,49,59.9300599,
Vermont,50,49.71492194,
Virginia,51,-42.08794458,
Washington,53,2.300448212,
West Virginia,54,38.8904204,
Wisconsin,55,6.215006188,
Wyoming,56,47.8550145,
Autauga County,01001,-50.51984285,
Baldwin County,01003,-4.619013163,
Barbour County,01005,-30.38986419,
Bibb County,01007,-44.79917231,
Blount County,01009,-8.307321746,
Bullock County,01011,-39.73964565,
Butler County,01013,-37.97791179,
Calhoun County,01015,-54.03629576,
Chambers County,01017,-36.01844831,
Cherokee County,01019,-43.46719365,
Chilton County,01021,-51.71275026,
Choctaw County,01023,-28.31414236,
